Date,Price,Open,High,Low,Change %
11/01/2024,0.025,0.025,0.025,0.025,0.00%
10/31/2024,0.025,0.025,0.025,0.025,19.05%
10/30/2024,0.021,0.021,0.021,0.021,-73.75%
10/29/2024,0.08,0.025,0.025,0.025,14.29%
10/28/2024,0.07,0.015,0.015,0.015,16.67%
10/25/2024,0.06,0.007,0.007,0.007,0.00%
10/24/2024,0.06,0.007,0.007,0.007,0.00%
10/23/2024,0.06,0.007,0.007,0.007,0.00%
10/22/2024,0.06,0.005,0.005,0.005,-3100.00%
10/21/2024,-0.002,-0.002,0.002,-0.002,-125.00%
10/18/2024,0.008,-0.002,0.013,0.001,-500.00%
10/17/2024,-0.002,-0.002,0.001,-0.002,0.00%
10/16/2024,-0.002,-0.002,0.008,-0.002,0.00%
10/15/2024,-0.002,-0.002,0.033,-0.002,-106.06%
10/14/2024,0.033,0.033,0.033,0.033,-147.14%
10/11/2024,-0.07,0.038,0.038,-0.07,-433.33%
10/10/2024,0.021,0.038,0.038,-0.072,-44.74%
10/09/2024,0.038,0.038,0.038,-0.005,0.00%
10/08/2024,0.038,0.026,0.038,0.008,-860.00%
10/07/2024,-0.005,0.026,0.026,-0.007,-115.62%
10/04/2024,0.032,0.038,0.035,0.032,-15.79%
10/03/2024,0.038,0.038,0.038,0.033,8.57%
10/02/2024,0.035,0.038,0.038,0.035,0.00%
10/01/2024,0.035,0.038,0.038,0.033,16.67%
09/30/2024,0.03,0.03,0.033,0.03,-44.44%
09/27/2024,0.054,0.053,0.063,0.05,1.89%
09/26/2024,0.053,0.053,0.053,0.05,-255.88%
09/25/2024,-0.034,-0.034,0.053,-0.034,-164.15%
09/24/2024,0.053,0.053,0.083,0.051,-36.14%
09/23/2024,0.083,0.083,0.083,0.083,53.70%
09/20/2024,0.054,0.073,0.054,0.053,-10.00%
09/19/2024,0.06,0.073,0.075,0.06,-11.76%
09/18/2024,0.068,0.068,0.075,0.068,-15.00%
09/17/2024,0.08,0.08,0.098,0.067,-18.37%
09/16/2024,0.098,0.098,0.098,0.098,6.52%
09/13/2024,0.092,0.108,0.108,0.09,-14.81%
09/12/2024,0.108,0.108,0.108,0.078,0.00%
09/11/2024,0.108,0.108,0.108,0.081,9.09%
09/10/2024,0.099,0.108,0.108,0.078,-1.00%
09/06/2024,0.1,0.103,0.103,0.098,0.00%
09/05/2024,0.1,0.103,0.103,0.1,-2.91%
09/04/2024,0.103,0.103,0.103,0.1,3.00%
09/03/2024,0.1,0.103,0.103,0.093,7.53%
09/02/2024,0.093,0.093,0.095,0.09,-10.58%
08/30/2024,0.104,0.098,0.113,0.103,6.12%
08/29/2024,0.098,0.098,0.113,0.098,63.33%
08/28/2024,0.06,0.068,0.068,0.06,-4.76%
08/27/2024,0.063,0.063,0.063,0.05,18.87%
08/26/2024,0.053,0.053,0.053,0.053,-48.54%
08/23/2024,0.103,0.016,0.11,0.103,543.75%
08/22/2024,0.016,0.016,0.113,0.016,-85.84%
08/21/2024,0.113,0.113,0.113,0.11,0.00%
08/20/2024,0.113,0.113,0.113,0.108,0.00%
08/19/2024,0.113,0.113,0.113,0.11,-5.83%
08/16/2024,0.12,0.12,0.123,0.119,0.00%
08/15/2024,0.12,0.12,0.123,0.12,18.81%
